Time	aextx	s2	s3	s4	s5	Vs2	Vs3	Vs4	Vs5	ACCs2	ACCs3	ACCs4	ACCs5	FC	Gap	Kh	Damping	M	K
0.0	0.0066990956569919	0.0818026251551495	0.0450989412466409	0.0053060892233496	-0.0302983172689661	-0.0022431436156978	-0.0063217768499686	-0.0035024852851572	-0.0009230306047902	9.01418951835428e-06	0.0001128696168968	7.390535852348436e-05	-4.971068598684311e-06	0.0	0	0	0	0	0
0.0039	0.0067096015364855	0.082671637810382	0.045488170256119	0.0056589334673519	-0.0305255495254832	-0.0022296314346386	-0.0061553446107785	-0.0033930902160215	-0.0009293868338667	9.151412937113234e-06	0.0001112342823386	7.282095815971273e-05	-4.562113663332417e-06	0.0	0	0	0	0	0
0.0078	0.0070814962957981	0.0833765530059824	0.0458414955617953	0.0059988113679616	-0.0306068394417526	-0.0022158952233008	-0.0059889276890748	-0.0032837637233804	-0.0009355635144568	9.292433248406813e-06	0.0001096010151492	7.1733824278525e-05	-4.160318502992255e-06	0.0	0	0	0	0	0
0.0117	0.0071274203474116	0.0838093024423325	0.0461321471018871	0.0063064998439901	-0.0304479133524204	-0.0022018611864183	-0.0058234298752297	-0.0031751372406542	-0.0009414078178131	9.442104901976876e-06	0.0001079607341872	7.063202150677207e-05	-3.767930895420179e-06	0.0	0	0	0	0	0
0.0156	0.0066638411257202	0.0839496683515076	0.0463471118133263	0.0065549898606377	-0.0300393688616555	-0.0021874853819379	-0.0056597067627746	-0.0030678015238543	-0.0009467974591779	9.604236017228244e-06	0.0001063075026764	6.95072624464092e-05	-3.386308584185117e-06	0.0	0	0	0	0	0
0.0195	0.007144530563624	0.0838632670770992	0.0464852283094345	0.0067184476000912	-0.0294576958469234	-0.0021727480562549	-0.0054984538443101	-0.0029622322813813	-0.0009516478091413	9.781278265608326e-06	0.0001046391655412	6.83558671434037e-05	-3.01580909376363e-06	0.0	0	0	0	0	0
0.0234	0.0079476437203515	0.0836679977823671	0.0465526717976787	0.0067857466070293	-0.0288378705551672	-0.0021576471449791	-0.0053401442193262	-0.0028587498562612	-0.0009559124501054	9.97419069959425e-06	0.000102957229214	6.71788313898255e-05	-2.655842453614472e-06	0.0	0	0	0	0	0
0.0273	0.0071594715996992	0.0834847037132701	0.0465593622771729	0.0067701832389885	-0.0283294800699685	-0.0021421916226588	-0.0051850174609942	-0.0027575137654983	-0.0009595779502325	1.0182441158427113e-05	0.000101266079172	6.598108254571052e-05	-2.3050659995554755e-06	0.0	0	0	0	0	0
0.0312	0.0075342690596292	0.0833931568199541	0.0465176270724237	0.0067088177884585	-0.0280502203884875	-0.00212639528564	-0.0050331101114822	-0.0026585453219232	-0.0009626548877592	1.0404115580036108e-05	9.957175580883337e-05	6.477014961126355e-05	-1.961676372813694e-06	0.0	0	0	0	0	0
0.0352	0.0080710104464838	0.0834106324559914	0.0464426510114873	0.0066508602141668	-0.0280497324663914	-0.0021102716376135	-0.0048843121859512	-0.0025617674151076	-0.0009651677784112	1.0636128755669376e-05	9.788059384196436e-05	6.355457549528449e-05	-1.6237442015743535e-06	0.0	0	0	0	0	0
0.0391	0.0075247901863189	0.0834988076282424	0.0463532949123638	0.0066403783293151	-0.0282958452478302	-0.0020938305881752	-0.0047384327378401	-0.0024670497215292	-0.0009671463185191	1.0874534123811572e-05	9.619803789756354e-05	6.234242148430273e-05	-1.289538098102376e-06	0.0	0	0	0	0	0
0.043	0.007678253556205	0.0835914551173069	0.0462714085779202	0.0067009580413165	-0.0286901079470672	-0.0020770773832412	-0.0045952600221159	-0.0023742494788906	-0.0009686193391109	1.1114909939802046e-05	9.452786267705216e-05	6.114014477720341e-05	-9.5779185964323e-07	0.0	0	0	0	0	0
0.0469	0.0075199077391564	0.083627710997986	0.0462181366258351	0.0068282138705909	-0.0291073372358483	-0.002060013595808	-0.0044546066542345	-0.0022832414589428	-0.0009696115830841	1.1352780358413433e-05	9.287188012324806e-05	5.9951994315749707e-05	-6.278808845828844e-07	0.0	0	0	0	0	0
0.0508	0.0080807041147409	0.0835764710205483	0.0462074119958327	0.0069921085991499	-0.0294416625560021	-0.0020426394496365	-0.0043163357447361	-0.0021939347173152	-0.0009701425168203	1.1584029330853575e-05	9.123007523875836e-05	5.877991895333814e-05	-2.998887237465479e-07	0.0	0	0	0	0	0
0.0547	0.0079199033572782	0.0834443681713468	0.0462393231103512	0.0071474802121748	-0.0296389659342188	-0.002024956478969	-0.0041803688598267	-0.0021062770453694	-0.0009702262065191	1.180527044511862e-05	8.960103613169673e-05	5.7623865062755485e-05	2.5440600863809137e-08	0.0	0	0	0	0	0
