Time	aextx	s2	s3	s4	s5	Vs2	Vs3	Vs4	Vs5	ACCs2	ACCs3	ACCs4	ACCs5	FC	Gap	Kh	Damping	M	K
0.0	0.0049002734144967	-0.04250328552938	-0.0795945127834956	-0.12846744466894	-0.1635031317918185	0.0005620118535307	-0.0092417099552029	-0.1306366231859739	-0.1239737070331341	-4.980914634679253e-06	5.104212791700435e-05	0.0007756051588097	0.0001866410217834	0.0	0	0	0	0	0
0.0039	0.0044104585968793	-0.0427394202513883	-0.0794130300490831	-0.1283249407280807	-0.163127920032521	0.0005542056590086	-0.0091650501017297	-0.1294662642575732	-0.1236663985316254	-4.917511011512342e-06	5.170081734649828e-05	0.0007857365020287	0.0002095156995302	0.0	0	0	0	0	0
0.0078	0.0052787483210013	-0.0429382381094583	-0.0792455251835952	-0.1282326282708626	-0.1627976096069462	0.0005464600747766	-0.0090873946656057	-0.1282814398539448	-0.123341487227335	-4.848837245229663e-06	5.236128198879939e-05	0.0007958554296175	0.0002323853285271	0.0	0	0	0	0	0
0.0117	0.0058317240208168	-0.0430718013647456	-0.0791010727385609	-0.1282219294055167	-0.1625562526878851	0.0005388565847759	-0.0090085005402255	-0.127078912444936	-0.1229890518006272	-4.76791513283293e-06	5.302890396581728e-05	0.000806014364419	0.0002553966645537	0.0	0	0	0	0	0
0.0156	0.0066584728699508	-0.0431265506170127	-0.0789883085679718	-0.1283081505827087	-0.1624380786720586	0.0005314668348472	-0.0089282587854245	-0.1258573421477605	-0.1226017973548722	-4.669463777271878e-06	5.370799669416684e-05	0.0008162544128555	0.0002786549991091	0.0	0	0	0	0	0
0.0195	0.0049503648228349	-0.0431066571886049	-0.0789175933065595	-0.1284801012683144	-0.1624561197821116	0.0005243466628876	-0.0088466578323793	-0.1246167188736684	-0.1221751112985993	-4.550427020589019e-06	5.440151594030386e-05	0.0008266011411436	0.0003022133246778	0.0	0	0	0	0	0
0.0234	0.0052419931788338	-0.0430342123773831	-0.0789001746381819	-0.1286943067581077	-0.1625947569130151	0.000517533287907	-0.0087637456325985	-0.1233578129665934	-0.1217068051559572	-4.410128128231574e-06	5.511089207833151e-05	0.0008370618688572	0.000326069857331	0.0	0	0	0	0	0
0.0273	0.0044642959964516	-0.0429450316296598	-0.0789429737750984	-0.1288791854201581	-0.1628133890124441	0.0005110456612546	-0.0086795963948719	-0.1220817180051507	-0.1211966234854996	-4.250063848449412e-06	5.583591297352749e-05	0.0008476240218646	0.000350172501577	0.0	0	0	0	0	0
0.0312	0.0043308508601068	-0.0428791216627593	-0.079041924057164	-0.1289512847427351	-0.1630602889141684	0.000504887273721	-0.0085942856775446	-0.1207895238963122	-0.1206456345994803	-4.073426017041758e-06	5.657463630631554e-05	0.0008582543715568	0.0003744282397607	0.0	0	0	0	0	0
0.0352	0.0040725520260097	-0.0428680151116811	-0.0791779957939839	-0.1288417835335564	-0.1632883941835382	0.0004990503314215	-0.0085078754588875	-0.1194821269317352	-0.1200556200473513	-3.884478340899891e-06	5.732337846565768e-05	0.0008688995400648	0.000398715467009	0.0	0	0	0	0	0
0.0391	0.003525449782522	-0.0429244511874793	-0.0793183323187767	-0.1285264909276851	-0.1634652178016092	0.0004935202373714	-0.008420408631062	-0.1181601594939264	-0.1194285565177433	-3.687905751264124e-06	5.807686146627974e-05	0.000879488561485	0.0004228976291558	0.0	0	0	0	0	0
0.043	0.0044752374323049	-0.0430391393516506	-0.0794236520379284	-0.1280473526113363	-0.1635746511474988	0.0004882795962357	-0.0083319106245439	-0.1168240076902506	-0.1187662462943328	-3.488219241231873e-06	5.882857431002988e-05	0.0008899380995284	0.0004468368248523	0.0	0	0	0	0	0
0.0469	0.0039252566546045	-0.0431849714773991	-0.0794611835776245	-0.1275123803358974	-0.1636132206005032	0.0004833113197297	-0.0082423950183799	-0.1154738804774669	-0.1180701124786808	-3.289276450278729e-06	5.957133659083104e-05	0.0009001600985547	0.0004704061770967	0.0	0	0	0	0	0
0.0508	0.0049732224130153	-0.043325588080915	-0.0794174882545091	-0.1270677257326009	-0.1635851561876786	0.0004786007486976	-0.0081518701464235	-0.1141098970066841	-0.117341141995464	-3.093971818945629e-06	6.029798444408427e-05	0.0009100707428153	0.0004934999048802	0.0	0	0	0	0	0
0.0547	0.0052291552736588	-0.0434252314718293	-0.0793024248507387	-0.1268483368160051	-0.1634996023052802	0.0004741369048022	-0.0080603446007321	-0.1127321670562528	-0.1165799380972181	-2.9041324528819085e-06	6.100207127321968e-05	0.0009195992161716	0.0005160403222175	0.0	0	0	0	0	0
0.0586	0.0053677891682316	-0.0434580537277976	-0.079140927110644	-0.1269257530454514	-0.1633703543299609	0.0004699129766842	-0.007967830694195	-0.1113408495474359	-0.115786835854971	-2.7206095049108357e-06	6.167849037783934e-05	0.0009286949591571	0.0005379814473697	0.0	0	0	0	0	0
0.0625	0.005235761518381	-0.0434150609331579	-0.0789594886525955	-0.1272765787171565	-0.1632160562916788	0.0004659260677769	-0.0078743459247822	-0.1099361837781143	-0.1149620369606039	-2.5435001760781736e-06	6.232395519218569e-05	0.0009373325686024	0.0005593093427906	0.0	0	0	0	0	0
0.0664	0.0040603754228469	-0.0433068472327845	-0.0787782600594554	-0.1277885351471923	-0.1630589533794466	0.0004621762586618	-0.0077799129966207	-0.1085184954360887	-0.1141057303308645	-2.372410362991382e-06	6.2937292141798e-05	0.0009455138818771	0.0005800395888848	0.0	0	0	0	0	0
0.0703	0.0043436209769435	-0.0431614283173713	-0.0786131124942075	-0.1283034077854647	-0.1629221844496939	0.0004586651634485	-0.0076845589891838	-0.1070881839221112	-0.1132181784063091	-2.206689633830077e-06	6.351951034017963e-05	0.0009532670636111	0.0006002124117234	0.0	0	0	0	0	0
0.0742	0.0036524201168616	-0.0430176550878273	-0.0784817843655655	-0.1286770275122186	-0.162826683081356	0.0004553942886601	-0.00758831407056	-0.1056456992125239	-0.1122997621827562	-2.045617765148687e-06	6.407361961265133e-05	0.0009606427218605	0.0006198859977724	0.0	0	0	0	0	0
0.0781	0.0043513442965187	-0.0429155341905936	-0.0784044602890669	-0.1288285011028867	-0.1627885455452491	0.0004523635819106	-0.007491210023052	-0.1041915160546872	-0.1113509884602232	-1.8885543421021689e-06	6.46041828995272e-05	0.0009677072888906	0.0006391285077075	0.0	0	0	0	0	0
0.082	0.0058452222853791	-0.0428861902254071	-0.0783955385057772	-0.128759194874964	-0.1628174609832117	0.0004495705386633	-0.007393278892376	-0.102726111395909	-0.1103724693507285	-1.735057575874437e-06	6.511662205935421e-05	0.0009745341558017	0.0006580093141855	0.0	0	0	0	0	0
0.0859	0.0048577711306782	-0.0429449092285226	-0.0784535775496327	-0.1285394537413322	-0.1629161400928417	0.0004470100395097	-0.0072945520998564	-0.1012499483402317	-0.1093648866582832	-1.5849537858828491e-06	6.561634960112095e-05	0.0009811933892599	0.0006765901017695	0.0	0	0	0	0	0
0.0898	0.004439750534684	-0.043088656006313	-0.0785597121266456	-0.128275561293523	-0.1630790639735628	0.000444674761894	-0.0071950601478305	-0.0997634674243599	-0.1083289529932664	-1.4383321750186478e-06	6.61078596679465e-05	0.0009877413054446	0.0006949167147391	0.0	0	0	0	0	0
0.0938	0.0052621767665036	-0.043296418825208	-0.0786871827278912	-0.1280733944069944	-0.1632887984635967	0.0004425557982458	-0.0070948326923014	-0.0982670842497567	-0.1072653785253871	-1.2954678172920571e-06	6.659395775945973e-05	0.0009942116399967	0.0007130129351463	0.0	0	0	0	0	0
0.0977	0.004936440024559	-0.0435308571793334	-0.0788136977066483	-0.1280102004533421	-0.163511852305282	0.0004406431995686	-0.0069938985767202	-0.096761191743845	-0.1061748483906617	-1.156718999219354e-06	6.707531082419877e-05	0.0010006102007047	0.000730877444102	0.0	0	0	0	0	0
0.1016	0.004364451292852	-0.0437430192351905	-0.0789254234233639	-0.1281193630990578	-0.1637003051145009	0.000438926410354	-0.00689228556995	-0.0952461653529595	-0.1050580120472503	-1.02246287924956e-06	6.755043072854403e-05	0.0010069143122275	0.0007484847544181	0.0	0	0	0	0	0
0.1055	0.0044350509587625	-0.0438830351914556	-0.0790096307496135	-0.1283891775350397	-0.1638040845167956	0.0004373947154603	-0.0067900198765082	-0.0937223698020813	-0.1039154830434081	-8.931042850086109e-07	6.8016076997866e-05	0.0010130770996629	0.000765789947752	0.0	0	0	0	0	0
0.1094	0.0039651966743636	-0.0439154329355181	-0.0790446915684683	-0.1287731481951972	-0.1637911101778203	0.0004360378342269	-0.0066871257327128	-0.0921901662652054	-0.1027478460336452	-7.691351475303276e-07	6.846794250976779e-05	0.001019035383974	0.0007827361111993	0.0	0	0	0	0	0
0.1133	0.0036346204691955	-0.0438322361452281	-0.0789999144375167	-0.1292051435844552	-0.1636650770691295	0.0004348467386168	-0.0065836254164455	-0.0906499188554483	-0.1015556674070087	-6.511754691920819e-07	6.890143164098729e-05	0.0010247193604788	0.0007992629423629	0.0	0	0	0	0	0
0.1172	0.0043657190726773	-0.0436565291996893	-0.0788493227056681	-0.1296126797789162	-0.1634702454375098	0.0004338146235494	-0.0064795398148207	-0.0891019995133399	-0.1003395062781228	-5.399180404015089e-07	6.931236436251937e-05	0.0010300623639536	0.0008153151137667	0.0	0	0	0	0	0
0.1211	0.0053335355010936	-0.0434340430999531	-0.0785907639599929	-0.1299272302834911	-0.1632799408951716	0.0004329377418206	-0.0063748894766737	-0.0875467907207304	-0.0990999234864309	-4.359351832068211e-07	6.96975068373566e-05	0.0010350094921098	0.0008308493672698	0.0	0	0	0	0	0
0.125	0.0039678816473445	-0.0432161039808619	-0.0782571199711726	-0.1300951604582318	-0.1631748499198998	0.0004322157177872	-0.0062696959236381	-0.0859846858389304	-0.097837487377322	-3.393759169692264e-07	7.005489676019201e-05	0.0010395243124415	0.0008458396996544	0.0	0	0	0	0	0
0.1289	0.0044297608634259	-0.0430410182743896	-0.0779128126181975	-0.1300909831857878	-0.1632210230184482	0.0004316510973529	-0.0061639828657999	-0.0844160871922702	-0.09655277626319	-2.496550016375367e-07	7.038397488280875e-05	0.0010435931908346	0.0008602803096781	0.0	0	0	0	0	0
0.1328	0.0052737920149919	-0.042922032899535	-0.0776377672041335	-0.129928839265593	-0.163453598002759	0.0004312481615397	-0.0060577768793931	-0.0828414023935524	-0.0952463782942625	-1.6526846711427924e-07	7.068555080070487e-05	0.0010472269660861	0.0008741861895741	0.0	0	0	0	0	0
0.1367	0.004921236213768	-0.0428475098975702	-0.0775051495399935	-0.1296654370946097	-0.1638667915602814	0.0004310112482972	-0.0059511071993992	-0.0812610398440093	-0.0939188897808681	-8.38407347409925e-08	7.096163022579869e-05	0.0010504598188005	0.0008875913723566	0.0	0	0	0	0	0
0.1406	0.0043853282041018	-0.0427927890101257	-0.0775596008076786	-0.1293911079095873	-0.1644102388557305	0.000430942940678	-0.0058440046142899	-0.0796754046090283	-0.0925709128493879	-2.43400512852908e-09	7.12151209561566e-05	0.0010533453168925	0.0009005449297644	0.0	0	0	0	0	0
0.1445	0.00400640761643	-0.0427366321357931	-0.0778021900327226	-0.1292110145012759	-0.164994685073179	0.0004310425093374	-0.0057364998582898	-0.0780848957260311	-0.0912030529629385	8.193056182545153e-08	7.14494255557028e-05	0.001055949806677	0.0009131049172411	0.0	0	0	0	0	0
0.1484	0.0049035826507932	-0.0426727753434381	-0.0781865085755117	-0.1292209523396263	-0.1655099994078126	0.0004313049528841	-0.0056286221395946	-0.0764899054551975	-0.0898159165554582	1.716510184800526e-07	7.166793156007741e-05	0.0010583435866963	0.0009253306473319	0.0	0	0	0	0	0
0.1523	0.0043847656349105	-0.0426106055338426	-0.0786276627966243	-0.1294827915230193	-0.1658535816325888	0.0004317208752436	-0.005520398386934	-0.0748908203042236	-0.0884101089182852	2.6796429312995977e-07	7.187343249239851e-05	0.0010605906913351	0.0009372739882216	0.0	0	0	0	0	0
0.1562	0.0044283866812062	-0.0425659225478579	-0.0790240880341789	-0.1300065411447094	-0.1659617049081646	0.0004322772846483	-0.0054118534855113	-0.0732880231576654	-0.0869862324976861	3.705493723060229e-07	7.20675603975857e-05	0.0010627386443589	0.0009489708334322	0.0	0	0	0	0	0
0.1602	0.0043572172047864	-0.0425486666015541	-0.0792891901784787	-0.1307468173526377	-0.1658340548927885	0.0004329591947402	-0.0053030113815294	-0.0716818956936312	-0.0855448857824651	4.774239187375642e-07	7.225037132077352e-05	0.0010648100889053	0.0009604343513783	0.0	0	0	0	0	0
0.1641	0.0044580757246492	-0.0425555733699904	-0.0793833437670291	-0.1316168399594543	-0.1655422811696566	0.0004337516908975	-0.0051938966167993	-0.0700728204385214	-0.0840866628749311	5.851800058608988e-07	7.242024890570791e-05	0.0010667983595036	0.0009716517623217	0.0	0	0	0	0	0
0.168	0.0043261607070442	-0.0425716504150052	-0.0793314118928861	-0.1325146418440038	-0.1652163318884781	0.000434641964889	-0.0050845356737588	-0.0684611821265853	-0.0826121536694903	6.89516494362623e-07	7.257422119686611e-05	0.0010686683866267	0.0009825858171295	0.0	0	0	0	0	0
0.1719	0.0049895837643939	-0.042578629985004	-0.0792144199781916	-0.1333500557333605	-0.1650096776203663	0.0004356208036078	-0.0049749575195606	-0.0668473683497411	-0.0811219444745956	7.859406318919236e-07	7.270863520247192e-05	0.0010703628921739	0.0009931809084221	0.0	0	0	0	0	0
0.1758	0.0056952245853388	-0.0425650504244769	-0.0791362547072334	-0.1340616156127807	-0.1650547698372957	0.0004366832027226	-0.004865193012416	-0.0652317697021852	-0.079616619021369	8.704690573282913e-07	7.281999853303129e-05	0.0010718123983207	0.0010033724683388	0.0	0	0	0	0	0
0.1797	0.00541885915257	-0.0425328125905731	-0.0791794336562608	-0.1346199564577275	-0.1654257422220588	0.0004378280737181	-0.0047552733489518	-0.0636147796374001	-0.0780967599716706	9.401787333756704e-07	7.290576212582666e-05	0.0010729468688988	0.0010130976608255	0.0	0	0	0	0	0
0.1836	0.0047687168193352	-0.0424978564003876	-0.0793703611089172	-0.1350235864050344	-0.1661212730271376	0.0004390572234867	-0.0046452282475314	-0.0619967940693658	-0.0765629509934043	9.935225346084182e-07	7.296487725708661e-05	0.0010737068934011	0.0010223054523622	0.0	0	0	0	0	0
0.1875	0.0054415246694629	-0.042485589602154	-0.0796701913621284	-0.1352958709001968	-0.1670706616180515	0.0004403738680595	-0.0045350847415377	-0.0603782106003643	-0.0750157791309831	1.0303946069243874e-06	7.29980501526942e-05	0.001074052792824	0.0010309645938919	0.0	0	0	0	0	0
0.1914	0.0056508845688266	-0.0425231372624105	-0.0799940945959596	-0.1354859975961702	-0.1681582523541683	0.0004417810151641	-0.0044248671534915	-0.0587594273806466	-0.0734558368119009	1.051982345498226e-06	7.300769042154552e-05	0.0010739705343904	0.0010390685433484	0.0	0	0	0	0	0
