Time	aextx	s2	s3	s4	s5	Vs2	Vs3	Vs4	Vs5	ACCs2	ACCs3	ACCs4	ACCs5	FC	Gap	Kh	Damping	M	K
0.0	0.00131916110759	-0.0059154839533863	-0.0644155206414603	-0.1079976715487008	-0.1456094698145231	-0.0030853901661333	0.0009009496933932	0.0027573030612878	-0.0027724418457543	5.692604926390606e-05	2.6930521956564607e-05	-4.594296643935174e-05	7.489102470421282e-05	0.0	0	0	0	0	0
0.0039	0.0008764555084852	-0.0058062652158816	-0.0642205718408712	-0.1077638108457914	-0.1457584341059178	-0.0030008376804992	0.0009397159939768	0.0026898126985	-0.0026629432989802	5.616930562223553e-05	2.594073290431285e-05	-4.524461909691844e-05	7.343443260910223e-05	0.0	0	0	0	0	0
0.0078	0.0013266517430756	-0.0056862324937281	-0.0640785594988246	-0.1075654453272507	-0.1458752526891999	-0.0029162843738092	0.0009780956106707	0.0026223560218869	-0.0025536328850558	5.5411341241764536e-05	2.4952648452476635e-05	-4.4545753835408776e-05	7.19855945542176e-05	0.0	0	0	0	0	0
0.0117	0.0008718040167116	-0.0055595973050621	-0.0640170084430327	-0.1074255293977948	-0.1459482075306894	-0.0028321829111889	0.001015625927754	0.0025553142802841	-0.0024452206219961	5.464393405295527e-05	2.3963257184698265e-05	-4.384117903701156e-05	7.054132726090476e-05	0.0	0	0	0	0	0
0.0156	0.001327929922168	-0.0054407928239484	-0.0640264971162696	-0.1073468510521075	-0.1459935972974186	-0.0027489659542917	0.0010519156351778	0.0024890438037673	-0.0023383612860312	5.386130959828237e-05	2.2970762862750057e-05	-4.312729112029865e-05	6.909984516774358e-05	0.0	0	0	0	0	0
0.0195	0.0012743410595241	-0.0053512360992994	-0.0640708687229881	-0.1073143321459492	-0.1460490559070859	-0.0026669893167701	0.0010866767907597	0.0024238310768245	-0.0022335786098488	5.306069988876612e-05	2.197478160379612e-05	-4.2402380431384025e-05	6.766100630442427e-05	0.0	0	0	0	0	0
0.0234	0.0018212544027583	-0.0053126567592063	-0.0641091578023126	-0.1073044210884834	-0.1461528623694186	-0.0025864991076676	0.0011197363495726	0.0023598694175007	-0.0021312249096542	5.224230259411669e-05	2.0976343464993785e-05	-4.166660005951928e-05	6.622615690962453e-05	0.0	0	0	0	0	0
0.0273	0.0012853336281825	-0.0053404987906811	-0.064116270634265	-0.1072953183790321	-0.1463204463860208	-0.0025076243692831	0.0011510283795577	0.0022972573472183	-0.0020314769181446	5.14087473921234e-05	1.997771867957908e-05	-4.0921682392368005e-05	6.479765886309633e-05	0.0	0	0	0	0	0
0.0312	5.934496790054286e-06	-0.0054388770231316	-0.0640942123461804	-0.1072733365628382	-0.1465317333132822	-0.0024303908782458	0.0011805719202792	0.0022360137859068	-0.0019343607858251	5.056424392825955e-05	1.8982100693486927e-05	-4.017049697754874e-05	6.337823833269553e-05	0.0	0	0	0	0	0
0.0352	0.0013048044649312	-0.0055973132569337	-0.0640722516742052	-0.107235051840799	-0.146736853530343	-0.0023547484326606	0.0012084413061031	0.0021761026468437	-0.0018397948960915	4.97136100754575e-05	1.799318821345779e-05	-3.941653260639011e-05	6.197032387930143e-05	0.0	0	0	0	0	0
0.0391	0.0008826859125927	-0.0057912436213349	-0.0640961502512327	-0.1071869790620003	-0.1468774503422352	-0.0022806032254467	0.00123473580523	0.0021174592417305	-0.0017476382488752	4.8861377308547394e-05	1.7014717165864784e-05	-3.866338015566699e-05	6.0575538570400925e-05	0.0	0	0	0	0	0
0.043	0.0013312618799492	-0.0059883309090214	-0.0642063053575539	-0.1071435837543866	-0.1469120547061196	-0.0022078481626563	0.0012595540474759	0.002060012611805	-0.0016577340647466	4.80111369458796e-05	1.605000052167796e-05	-3.791428347342687e-05	5.919446083762429e-05	0.0	0	0	0	0	0
0.0469	0.0003537705225032	-0.0061581249524628	-0.0644099859743575	-0.1071233971332161	-0.1468315304735646	-0.0021363863233773	0.0012829766013483	0.0020037005692646	-0.0015699419584795	4.7165219022611245e-05	1.5101538075568522e-05	-3.717180401206984e-05	5.782667827288068e-05	0.0	0	0	0	0	0
0.0508	0.0004617289619173	-0.0062793368866439	-0.0646625169152874	-0.1071431420023997	-0.1466568854546788	-0.0020661453381379	0.0013050578002354	0.0019484768818951	-0.0014841562533251	4.6324707202263024e-05	1.4170756982427375e-05	-3.643762352816777e-05	5.647106517700389e-05	0.0	0	0	0	0	0
0.0547	0.0021227759010933	-0.0063418528707556	-0.0648741771005707	-0.1072103534012736	-0.1464234993321748	-0.0019970826768664	0.0013258258894816	0.0018943119763708	-0.0014003115349799	4.548972251183276e-05	1.325793343940736e-05	-3.5712499348923545e-05	5.512616304413668e-05	0.0	0	0	0	0	0
0.0586	0.0018921547478033	-0.006345408970624	-0.0649463111678091	-0.1073161240365699	-0.1461642910040975	-0.0019291834274538	0.0013452890759247	0.0018411895258414	-0.0013183786869807	4.465986414972985e-05	1.236232155422604e-05	-3.4996375631805976e-05	5.379054876964263e-05	0.0	0	0	0	0	0
0.0625	0.001694037434425	-0.0062976338344415	-0.0648202499737258	-0.1074318330298013	-0.1459027614044759	-0.0018624530885268	0.0013634443452572	0.0017891013881892	-0.0012383553855227	4.383467310373972e-05	1.1482472968279816e-05	-3.428862802295959e-05	5.2463121991743214e-05	0.0	0	0	0	0	0
