Time	aextx	s2	s3	s4	s5	Vs2	Vs3	Vs4	Vs5	ACCs2	ACCs3	ACCs4	ACCs5	FC	Gap	Kh	Damping	M	K
0.0	-0.0004039696003066	-0.0019986487614126	-0.0019963206953022	0.0006082859174944	0.0006041884362379	-0.0021124509704289	0.0044855212135135	0.0039066306990273	0.0008000922587492	6.989627313154177e-05	-6.295265291741504e-05	-0.0001138113738328	-2.1955861729212644e-05	0.0	0	0	0	0	0
0.0039	-0.0003969375965855	-0.0014746509988635	-0.0019359257168299	0.0013986729236752	0.0006535660685619	-0.0020088568029748	0.0043921939443183	0.0037388110749809	0.0007681612536949	6.888122948449339e-05	-6.241864211640737e-05	-0.000111674970972	-2.139433590982163e-05	0.0	0	0	0	0	0
0.0078	-1.6857477106829011e-06	-0.0010472622720099	-0.0018641580275519	0.0020194423329315	0.0006597191497845	-0.0019053592586106	0.0042986426699596	0.0035714295226531	0.000736388247324	6.786065000503256e-05	-6.188154929697723e-05	-0.0001095326883541	-2.083470879161509e-05	0.0	0	0	0	0	0
0.0117	0.0003997332743432	-0.0007871524577118	-0.0017825516481149	0.0023636761140511	0.0006047629759648	-0.0018025776870263	0.0042052209512278	0.0034056748867254	0.0007050491379602	6.682043404182166e-05	-6.133594939215207e-05	-0.0001073641764805	-2.027442661670012e-05	0.0	0	0	0	0	0
0.0156	2.877046890653137e-06	-0.0007166832738117	-0.0017102314329005	0.0024106557032655	0.0005060219931237	-0.0017010884406078	0.004112290389029	0.0032426178290667	0.0006743876466077	6.575065912364156e-05	-6.077853991634218e-05	-0.0001051558883595	-1.971191772114192e-05	0.0	0	0	0	0	0
0.0195	-0.0009061954903218	-0.000803271867576	-0.0016745574255635	0.0022241089216855	0.0004104236160682	-0.0016013543129034	0.0040201613160001	0.0030830913661993	0.0006445914262613	6.46465193928406e-05	-6.0208462698463335e-05	-0.0001029025043792	-1.9146833574924583e-05	0.0	0	0	0	0	0
0.0234	-0.0003897649297674	-0.0009736957022441	-0.0016946317657833	0.0019196061431177	0.0003731155057696	-0.0015036869295824	0.0039290562450248	0.0029276330996225	0.0006157808253772	6.350828313518669e-05	-5.962711174437855e-05	-0.0001006067747704	-1.858004705780952e-05	0.0	0	0	0	0	0
0.0273	-1.4968569618003532e-05	-0.0011456572990027	-0.0017678767534927	0.0016165141163683	0.000431292763715	-0.0014082423335529	0.0038390979238747	0.0027764881618219	0.000588010099792	6.234040812830482e-05	-5.903750993966189e-05	-9.82779942843507e-05	-1.8013432528965073e-05	0.0	0	0	0	0	0
0.0312	0.0004203285266032	-0.0012619255734698	-0.0018674420957933	0.0013953456284964	0.0005863763037815	-0.0013150427532694	0.0037503181809023	0.0026296589659667	0.0005612783801654	6.11500952670133e-05	-5.844342210624627e-05	-9.592955458002704e-05	-1.7449477221641763e-05	0.0	0	0	0	0	0
0.0352	-0.0004262102918734	-0.0013098375123563	-0.0019515496989833	0.0012766944432814	0.0008018911330179	-0.0012240140674439	0.0036626804735669	0.0024869814695264	0.0005355463609022	5.994565020158224e-05	-5.784842010924447e-05	-9.357615004767102e-05	-1.6890802017512802e-05	0.0	0	0	0	0	0
0.0391	-0.0008675220437822	-0.0013174011036477	-0.0019798587900702	0.0012273952399306	0.0010165234025282	-0.0011350283198636	0.0035761082385832	0.00234820734574	0.0005107544456002	5.873503024352958e-05	-5.725512220991056e-05	-9.123122541093716e-05	-1.6339690458383346e-05	0.0	0	0	0	0	0
0.043	-0.0009389726490095	-0.00133045500368	-0.0019292363872575	0.0011882998536164	0.0011661315385941	-0.001047942643583	0.0034905122224836	0.0022130755496972	0.0004868387984642	5.752484908976469e-05	-5.6664777687575245e-05	-8.890513033310762e-05	-1.5797718885701718e-05	0.0	0	0	0	0	0
0.0469	-0.0012544775787231	-0.0013849719913728	-0.001802115845095	0.0011097186028919	0.001205652277242	-0.0009626289996248	0.0034058120332986	0.0020813632243174	0.0004637430652545	5.631993173258151e-05	-5.607725772612197e-05	-8.66042129202635e-05	-1.5265546827251676e-05	0.0	0	0	0	0	0
0.0508	-0.0009519527481115	-0.0014895951917952	-0.0016246285940026	0.0009784942525718	0.0011228482344836	-0.0008789923121993	0.0033219494686715	0.0019529127111646	0.0004414249677455	5.51233525260206e-05	-5.549138720038405e-05	-8.433083220494653e-05	-1.4742883551204452e-05	0.0	0	0	0	0	0
0.0547	-0.0008419033048415	-0.0016254437750005	-0.0014368041028943	0.0008261338827902	0.0009405217413343	-0.0007969772185822	0.0032388933401877	0.0018276369824492	0.000419858151997	5.393681412332952e-05	-5.490546977558109e-05	-8.208409837059206e-05	-1.4228611740602156e-05	0.0	0	0	0	0	0
0.0586	-0.0004638039480645	-0.0017582885956879	-0.0012796844940844	0.0007164219480315	0.0007084237918083	-0.0007165654350123	0.0031566372424326	0.0017055091947443	0.0003990304006059	5.276121265938061e-05	-5.431784745694982e-05	-7.986108335967021e-05	-1.3721028106917663e-05	0.0	0	0	0	0	0
0.0625	-0.0008310518919186	-0.0018516210722463	-0.0011836592784624	0.0007181331300048	0.0004878489506587	-0.0006377667010507	0.0030751927878721	0.0015865432654899	0.0003789396016412	5.159723468419515e-05	-5.372737594112588e-05	-7.765823523286243e-05	-1.3218151611043128e-05	0.0	0	0	0	0	0
0.0664	-0.0009734318665972	-0.0018731587240673	-0.0011612528790327	0.0008733385734142	0.0003326636907467	-0.00056060654975	0.0029945811569245	0.0014707719544019	0.0003595888446274	5.044583413808576e-05	-5.313374941475007e-05	-7.547273062529647e-05	-1.2718049568398498e-05	0.0	0	0	0	0	0
0.0703	-0.0008228101122598	-0.0017967730838135	-0.0012066206174037	0.001175013151657	0.0002722215892465	-0.0004851138990608	0.0029148254219549	0.0013582275244625	0.0003409818613878	4.930846855736893e-05	-5.253764395277257e-05	-7.330351330567017e-05	-1.2219137387043636e-05	0.0	0	0	0	0	0
